DateKey,Date,EnglishDayNameOfWeek,WeekNr,Month,MonthShorth,MonthNr,Quarter,YEAR
20190101,1/1/2019,Tuesday,1,January,Jan,1,1,2019
20190102,2/1/2019,Wednesday,1,January,Jan,1,1,2019
20190103,3/1/2019,Thursday,1,January,Jan,1,1,2019
20190104,4/1/2019,Friday,1,January,Jan,1,1,2019
20190105,5/1/2019,Saturday,1,January,Jan,1,1,2019
20190106,6/1/2019,Sunday,2,January,Jan,1,1,2019
20190107,7/1/2019,Monday,2,January,Jan,1,1,2019
20190108,8/1/2019,Tuesday,2,January,Jan,1,1,2019
20190109,9/1/2019,Wednesday,2,January,Jan,1,1,2019
20190110,10/1/2019,Thursday,2,January,Jan,1,1,2019
20190111,11/1/2019,Friday,2,January,Jan,1,1,2019
20190112,12/1/2019,Saturday,2,January,Jan,1,1,2019
20190113,13/1/2019,Sunday,3,January,Jan,1,1,2019
20190114,14/1/2019,Monday,3,January,Jan,1,1,2019
20190115,15/1/2019,Tuesday,3,January,Jan,1,1,2019
20190116,16/1/2019,Wednesday,3,January,Jan,1,1,2019
20190117,17/1/2019,Thursday,3,January,Jan,1,1,2019
20190118,18/1/2019,Friday,3,January,Jan,1,1,2019
20190119,19/1/2019,Saturday,3,January,Jan,1,1,2019
20190120,20/1/2019,Sunday,4,January,Jan,1,1,2019
20190121,21/1/2019,Monday,4,January,Jan,1,1,2019
20190122,22/1/2019,Tuesday,4,January,Jan,1,1,2019
20190123,23/1/2019,Wednesday,4,January,Jan,1,1,2019
20190124,24/1/2019,Thursday,4,January,Jan,1,1,2019
20190125,25/1/2019,Friday,4,January,Jan,1,1,2019
20190126,26/1/2019,Saturday,4,January,Jan,1,1,2019
20190127,27/1/2019,Sunday,5,January,Jan,1,1,2019
20190128,28/1/2019,Monday,5,January,Jan,1,1,2019
20190129,29/1/2019,Tuesday,5,January,Jan,1,1,2019
20190130,30/1/2019,Wednesday,5,January,Jan,1,1,2019
20190131,31/1/2019,Thursday,5,January,Jan,1,1,2019
20190201,1/2/2019,Friday,5,February,Feb,2,1,2019
20190202,2/2/2019,Saturday,5,February,Feb,2,1,2019
20190203,3/2/2019,Sunday,6,February,Feb,2,1,2019
20190204,4/2/2019,Monday,6,February,Feb,2,1,2019
20190205,5/2/2019,Tuesday,6,February,Feb,2,1,2019
20190206,6/2/2019,Wednesday,6,February,Feb,2,1,2019
20190207,7/2/2019,Thursday,6,February,Feb,2,1,2019
20190208,8/2/2019,Friday,6,February,Feb,2,1,2019
20190209,9/2/2019,Saturday,6,February,Feb,2,1,2019
20190210,10/2/2019,Sunday,7,February,Feb,2,1,2019
20190211,11/2/2019,Monday,7,February,Feb,2,1,2019
20190212,12/2/2019,Tuesday,7,February,Feb,2,1,2019
20190213,13/2/2019,Wednesday,7,February,Feb,2,1,2019
20190214,14/2/2019,Thursday,7,February,Feb,2,1,2019
20190215,15/2/2019,Friday,7,February,Feb,2,1,2019
20190216,16/2/2019,Saturday,7,February,Feb,2,1,2019
20190217,17/2/2019,Sunday,8,February,Feb,2,1,2019
20190218,18/2/2019,Monday,8,February,Feb,2,1,2019
20190219,19/2/2019,Tuesday,8,February,Feb,2,1,2019
20190220,20/2/2019,Wednesday,8,February,Feb,2,1,2019
20190221,21/2/2019,Thursday,8,February,Feb,2,1,2019
20190222,22/2/2019,Friday,8,February,Feb,2,1,2019
20190223,23/2/2019,Saturday,8,February,Feb,2,1,2019
20190224,24/2/2019,Sunday,9,February,Feb,2,1,2019
20190225,25/2/2019,Monday,9,February,Feb,2,1,2019
20190226,26/2/2019,Tuesday,9,February,Feb,2,1,2019
20190227,27/2/2019,Wednesday,9,February,Feb,2,1,2019
20190228,28/2/2019,Thursday,9,February,Feb,2,1,2019
20190301,1/3/2019,Friday,9,March,Mar,3,1,2019
20190302,2/3/2019,Saturday,9,March,Mar,3,1,2019
